variable,year,count
主姓名,1750,157
주성명,1750,151
父職役,1750,141
부직역,1750,133
父名,1750,2576
부명,1750,2128
生父職役,1750,6
생부직역,1750,6
生父名,1750,14
생부명,1750,14
母職役,1750,13
모직역,1750,12
母名,1750,385
모명,1750,421
所生,1750,9
祖職役,1750,155
조직역,1750,147
祖名,1750,2237
조명,1750,1820
曾祖職役,1750,225
증조직역,1750,218
曾祖名,1750,2120
증조명,1750,1711
外祖職役,1750,126
외조직역,1750,124
外祖名,1750,2808
외조명,1750,2570
外本,1750,146
외본,1750,141
備考,1750,145
전체순번,1753,10714
年度,1753,1
面名,1753,7
면명,1753,7
順番,1753,3516
里順,1753,7
里名,1753,30
리명,1753,30
統,1753,76
統首,1753,382
통수,1753,379
戶,1753,8
主戶,1753,1749
주호,1753,1729
新戶,1753,2
신호,1753,2
代戶,1753,163
대호,1753,163
戶內位相,1753,168
호내위상,1753,176
職役,1753,482
직역,1753,464
姓,1753,88
성,1753,70
名,1753,3945
명,1753,3375
改名,1753,90
개명,1753,90
年齡,1753,109
干支,1753,64
간지,1753,64
出入,1753,272
출입,1753,273
場所,1753,254
장소,1753,246
本,1753,3
본,1753,3
本貫,1753,151
본관,1753,140
主居,1753,25
주거,1753,25
主職役,1753,7
주직역,1753,7
主姓名,1753,138
주성명,1753,133
父職役,1753,131
부직역,1753,125
父名,1753,2724
부명,1753,2261
生父職役,1753,7
생부직역,1753,7
生父名,1753,23
생부명,1753,23
母職役,1753,15
모직역,1753,14
母名,1753,520
모명,1753,542
所生,1753,10
祖職役,1753,133
조직역,1753,126
祖名,1753,2313
조명,1753,1878
曾祖職役,1753,173
증조직역,1753,164
曾祖名,1753,2148
증조명,1753,1711
外祖職役,1753,135
외조직역,1753,131
外祖名,1753,2866
외조명,1753,2650
外本,1753,169
외본,1753,162
備考,1753,118
전체순번,1756,23257
年度,1756,1
面名,1756,10
면명,1756,10
順番,1756,8035
里順,1756,13
里名,1756,50
리명,1756,50
統,1756,69
統首,1756,754
통수,1756,751
戶,1756,10
主戶,1756,3309
주호,1756,3241
新戶,1756,2
신호,1756,2
代戶,1756,522
대호,1756,521
戶內位相,1756,262
호내위상,1756,272
職役,1756,1142
직역,1756,1116
姓,1756,102
성,1756,84
名,1756,7415
명,1756,6004
改名,1756,184
개명,1756,179
年齡,1756,114
干支,1756,76
간지,1756,76
出入,1756,366
출입,1756,366
場所,1756,464
장소,1756,454
本,1756,4
본,1756,4
本貫,1756,219
본관,1756,211
主居,1756,55
주거,1756,55
主職役,1756,9
주직역,1756,9
主姓名,1756,411
주성명,1756,396
父職役,1756,216
부직역,1756,213
父名,1756,4668
부명,1756,3749
生父職役,1756,7
생부직역,1756,7
生父名,1756,30
생부명,1756,30
母職役,1756,19
모직역,1756,19
母名,1756,807
모명,1756,821
所生,1756,14
祖職役,1756,215
조직역,1756,205
祖名,1756,4034
조명,1756,3134
曾祖職役,1756,300
증조직역,1756,293
曾祖名,1756,3818
증조명,1756,2908
外祖職役,1756,178
외조직역,1756,177
外祖名,1756,5372
외조명,1756,4899
外本,1756,258
외본,1756,238
備考,1756,213
전체순번,1759,25663
年度,1759,1
面名,1759,13
면명,1759,13
順番,1759,8037
里順,1759,13
里名,1759,61
리명,1759,61
統,1759,73
統首,1759,878
통수,1759,873
戶,1759,9
主戶,1759,3838
주호,1759,3738
新戶,1759,3
신호,1759,2
代戶,1759,250
대호,1759,250
戶內位相,1759,252
호내위상,1759,256
職役,1759,1183
직역,1759,1150
姓,1759,106
성,1759,86
名,1759,7949
명,1759,6317
改名,1759,248
개명,1759,242
年齡,1759,122
干支,1759,89
간지,1759,89
出入,1759,416
출입,1759,419
場所,1759,375
장소,1759,364
本,1759,4
본,1759,4
本貫,1759,229
본관,1759,217
主居,1759,44
주거,1759,44
主職役,1759,8
주직역,1759,8
主姓名,1759,377
주성명,1759,369
父職役,1759,229
부직역,1759,217
父名,1759,5250
부명,1759,4106
生父職役,1759,11
생부직역,1759,11
生父名,1759,38
생부명,1759,38
母職役,1759,22
모직역,1759,21
母名,1759,839
모명,1759,816
所生,1759,13
祖職役,1759,234
조직역,1759,227
祖名,1759,4671
조명,1759,3518
曾祖職役,1759,317
증조직역,1759,303
曾祖名,1759,4388
증조명,1759,3299
外祖職役,1759,202
외조직역,1759,199
外祖名,1759,6302
외조명,1759,5745
外本,1759,251
외본,1759,233
備考,1759,247
전체순번,1762,37544
年度,1762,1
面名,1762,15
면명,1762,15
順番,1762,8358
里順,1762,13
里名,1762,84
리명,1762,83
統,1762,61
統首,1762,1167
통수,1762,1163
戶,1762,9
主戶,1762,5423
주호,1762,5247
新戶,1762,2
신호,1762,2
代戶,1762,312
대호,1762,312
戶內位相,1762,311
호내위상,1762,310
職役,1762,1794
직역,1762,1752
姓,1762,117
성,1762,94
名,1762,11010
명,1762,8295
改名,1762,439
개명,1762,428
年齡,1762,112
干支,1762,79
간지,1762,79
出入,1762,444
출입,1762,438
場所,1762,711
장소,1762,688
本,1762,4
본,1762,4
本貫,1762,291
본관,1762,266
主居,1762,65
주거,1762,64
主職役,1762,16
주직역,1762,16
主姓名,1762,596
주성명,1762,580
父職役,1762,313
부직역,1762,300
父名,1762,6931
부명,1762,5264
生父職役,1762,10
생부직역,1762,10
生父名,1762,70
생부명,1762,70
母職役,1762,28
모직역,1762,26
母名,1762,1175
모명,1762,1085
所生,1762,14
祖職役,1762,335
조직역,1762,314
祖名,1762,6078
조명,1762,4429
曾祖職役,1762,465
증조직역,1762,437
曾祖名,1762,5815
증조명,1762,4228
外祖職役,1762,256
외조직역,1762,251
外祖名,1762,8575
외조명,1762,7731
外本,1762,312
외본,1762,271
備考,1762,459
전체순번,1765,23672
年度,1765,1
面名,1765,10
면명,1765,10
順番,1765,8473
里順,1765,13
里名,1765,60
리명,1765,60
統,1765,62
統首,1765,769
통수,1765,762
戶,1765,9
主戶,1765,3520
주호,1765,3453
新戶,1765,2
신호,1765,2
代戶,1765,253
대호,1765,252
戶內位相,1765,202
호내위상,1765,212
職役,1765,1071
직역,1765,1041
姓,1765,108
성,1765,83
名,1765,8096
명,1765,6482
改名,1765,219
개명,1765,216
年齡,1765,129
干支,1765,91
간지,1765,92
出入,1765,286
출입,1765,292
場所,1765,434
장소,1765,414
本,1765,4
본,1765,4
本貫,1765,254
본관,1765,237
主居,1765,31
주거,1765,31
主職役,1765,8
주직역,1765,8
主姓名,1765,299
주성명,1765,294
父職役,1765,215
부직역,1765,206
父名,1765,4510
부명,1765,3684
生父職役,1765,10
생부직역,1765,10
生父名,1765,41
생부명,1765,41
母職役,1765,24
모직역,1765,22
母名,1765,821
모명,1765,816
所生,1765,17
祖職役,1765,257
조직역,1765,245
祖名,1765,3994
조명,1765,3164
曾祖職役,1765,326
증조직역,1765,316
曾祖名,1765,3791
증조명,1765,3005
外祖職役,1765,198
외조직역,1765,191
外祖名,1765,5198
외조명,1765,4850
外本,1765,288
외본,1765,263
備考,1765,408
전체순번,1768,26803
年度,1768,1
面名,1768,12
면명,1768,12
順番,1768,5621
里順,1768,15
里名,1768,93
리명,1768,93
統,1768,45
統首,1768,840
통수,1768,833
戶,1768,9
主戶,1768,3933
주호,1768,3839
新戶,1768,2
신호,1768,2
代戶,1768,255
대호,1768,255
戶內位相,1768,218
호내위상,1768,222
職役,1768,1231
직역,1768,1187
姓,1768,109
성,1768,85
名,1768,8960
명,1768,6956
改名,1768,429
개명,1768,418
年齡,1768,116
干支,1768,89
간지,1768,90
出入,1768,355
출입,1768,364
場所,1768,424
장소,1768,408
本,1768,4
본,1768,4
本貫,1768,260
본관,1768,236
主居,1768,46
주거,1768,45
主職役,1768,8
주직역,1768,8
主姓名,1768,294
주성명,1768,291
父職役,1768,250
부직역,1768,235
父名,1768,5361
부명,1768,4254
生父職役,1768,14
생부직역,1768,13
生父名,1768,74
생부명,1768,74
母職役,1768,27
모직역,1768,26
母名,1768,988
모명,1768,913
所生,1768,16
祖職役,1768,288
조직역,1768,271
祖名,1768,4869
조명,1768,3743
曾祖職役,1768,441
증조직역,1768,407
曾祖名,1768,4526
증조명,1768,3498
外祖職役,1768,250
외조직역,1768,240
外祖名,1768,6372
외조명,1768,5885
外本,1768,294
외본,1768,268
備考,1768,203
전체순번,1774,30500
年度,1774,1
面名,1774,13
면명,1774,13
順番,1774,7764
里順,1774,15
里名,1774,104
리명,1774,103
統,1774,45
統首,1774,995
통수,1774,986
戶,1774,8
主戶,1774,4629
주호,1774,4515
新戶,1774,2
신호,1774,2
代戶,1774,342
대호,1774,342
戶內位相,1774,224
호내위상,1774,226
職役,1774,1150
직역,1774,1114
姓,1774,112
성,1774,87
名,1774,9670
명,1774,7383
改名,1774,483
개명,1774,469
年齡,1774,120
干支,1774,88
간지,1774,89
出入,1774,349
출입,1774,357
場所,1774,363
장소,1774,345
本,1774,4
본,1774,4
本貫,1774,245
본관,1774,222
主居,1774,30
주거,1774,30
主職役,1774,7
주직역,1774,7
主姓名,1774,192
주성명,1774,190
父職役,1774,256
부직역,1774,242
父名,1774,5947
부명,1774,4631
生父職役,1774,9
생부직역,1774,9
生父名,1774,87
생부명,1774,87
母職役,1774,19
모직역,1774,19
母名,1774,1020
모명,1774,938
所生,1774,13
祖職役,1774,308
조직역,1774,292
祖名,1774,5524
조명,1774,4186
曾祖職役,1774,479
증조직역,1774,448
曾祖名,1774,5176
증조명,1774,3943
外祖職役,1774,238
외조직역,1774,230
外祖名,1774,7235
외조명,1774,6658
外本,1774,285
외본,1774,257
備考,1774,192
전체순번,1777,35510
年度,1777,1
面名,1777,12
면명,1777,12
順番,1777,7765
里順,1777,24
里名,1777,124
리명,1777,122
統,1777,45
統首,1777,1169
통수,1777,1162
戶,1777,8
主戶,1777,5277
주호,1777,5148
新戶,1777,2
신호,1777,2
代戶,1777,376
대호,1777,375
戶內位相,1777,203
호내위상,1777,200
職役,1777,1192
직역,1777,1156
姓,1777,115
성,1777,88
名,1777,10621
명,1777,8106
改名,1777,445
개명,1777,432
年齡,1777,125
干支,1777,96
간지,1777,97
出入,1777,382
출입,1777,388
場所,1777,473
장소,1777,454
本,1777,4
본,1777,4
本貫,1777,303
본관,1777,274
主居,1777,27
주거,1777,26
主職役,1777,5
주직역,1777,5
主姓名,1777,196
주성명,1777,193
父職役,1777,282
부직역,1777,276
父名,1777,6962
부명,1777,5255
生父職役,1777,17
생부직역,1777,17
生父名,1777,79
생부명,1777,79
母職役,1777,33
모직역,1777,32
母名,1777,1219
모명,1777,1158
所生,1777,14
祖職役,1777,323
조직역,1777,309
祖名,1777,6340
조명,1777,4664
曾祖職役,1777,522
증조직역,1777,497
曾祖名,1777,6012
증조명,1777,4394
外祖職役,1777,240
외조직역,1777,236
外祖名,1777,8694
외조명,1777,7916
外本,1777,327
외본,1777,287
備考,1777,264
전체순번,1780,6203
年度,1780,1
面名,1780,4
면명,1780,4
順番,1780,2144
里順,1780,6
里名,1780,20
리명,1780,20
統,1780,24
統首,1780,207
통수,1780,207
戶,1780,8
主戶,1780,962
주호,1780,952
新戶,1780,2
신호,1780,2
代戶,1780,65
대호,1780,65
戶內位相,1780,57
호내위상,1780,63
職役,1780,270
직역,1780,262
姓,1780,80
성,1780,66
名,1780,2792
명,1780,2475
改名,1780,62
개명,1780,62
年齡,1780,116
干支,1780,85
간지,1780,85
出入,1780,166
출입,1780,172
場所,1780,146
장소,1780,142
本,1780,4
본,1780,4
本貫,1780,153
본관,1780,147
主居,1780,6
주거,1780,6
主職役,1780,4
주직역,1780,4
主姓名,1780,32
주성명,1780,32
父職役,1780,101
부직역,1780,99
父名,1780,1539
부명,1780,1376
生父職役,1780,8
생부직역,1780,8
生父名,1780,25
생부명,1780,25
母職役,1780,15
모직역,1780,13
母名,1780,405
모명,1780,436
所生,1780,14
祖職役,1780,96
조직역,1780,95
祖名,1780,1369
조명,1780,1209
曾祖職役,1780,167
증조직역,1780,160
曾祖名,1780,1294
증조명,1780,1127
外祖職役,1780,105
외조직역,1780,104
外祖名,1780,1554
외조명,1780,1491
外本,1780,189
외본,1780,182
備考,1780,125
전체순번,1783,24428
年度,1783,1
面名,1783,13
면명,1783,13
順番,1783,8739
里順,1783,14
里名,1783,68
리명,1783,68
統,1783,74
統首,1783,877
통수,1783,876
戶,1783,9
主戶,1783,3967
주호,1783,3876
新戶,1783,4
신호,1783,4
代戶,1783,300
대호,1783,300
戶內位相,1783,146
호내위상,1783,149
職役,1783,843
직역,1783,827
姓,1783,108
성,1783,85
名,1783,7717
명,1783,6161
改名,1783,299
개명,1783,293
年齡,1783,127
干支,1783,105
간지,1783,105
出入,1783,317
출입,1783,312
場所,1783,312
장소,1783,303
本,1783,5
본,1783,4
本貫,1783,272
본관,1783,257
主居,1783,10
주거,1783,10
主職役,1783,2
주직역,1783,2
主姓名,1783,61
주성명,1783,60
父職役,1783,251
부직역,1783,241
父名,1783,5423
부명,1783,4215
生父職役,1783,10
생부직역,1783,10
生父名,1783,61
생부명,1783,61
母職役,1783,30
모직역,1783,32
母名,1783,621
모명,1783,681
所生,1783,16
祖職役,1783,285
조직역,1783,271
祖名,1783,4999
조명,1783,3785
曾祖職役,1783,338
증조직역,1783,320
曾祖名,1783,4826
증조명,1783,3617
外祖職役,1783,173
외조직역,1783,167
外祖名,1783,6609
외조명,1783,6005
外本,1783,298
외본,1783,264
備考,1783,257
전체순번,1786,34952
年度,1786,1
面名,1786,12
면명,1786,12
順番,1786,7666
里順,1786,22
里名,1786,121
리명,1786,119
統,1786,45
統首,1786,1183
통수,1786,1170
戶,1786,9
主戶,1786,5373
주호,1786,5203
新戶,1786,2
신호,1786,2
代戶,1786,436
대호,1786,436
戶內位相,1786,184
호내위상,1786,192
職役,1786,1075
직역,1786,1031
姓,1786,115
성,1786,91
名,1786,10526
명,1786,7977
改名,1786,429
개명,1786,419
年齡,1786,123
干支,1786,97
간지,1786,97
出入,1786,319
출입,1786,327
場所,1786,419
장소,1786,408
本,1786,4
본,1786,4
本貫,1786,307
본관,1786,268
主居,1786,18
주거,1786,18
主職役,1786,7
주직역,1786,7
主姓名,1786,147
주성명,1786,145
父職役,1786,274
부직역,1786,258
父名,1786,7078
부명,1786,5302
生父職役,1786,14
생부직역,1786,14
生父名,1786,80
생부명,1786,79
母職役,1786,25
모직역,1786,25
母名,1786,1073
모명,1786,1053
所生,1786,13
祖職役,1786,330
조직역,1786,307
祖名,1786,6496
조명,1786,4707
曾祖職役,1786,503
증조직역,1786,478
曾祖名,1786,6289
증조명,1786,4558
外祖職役,1786,218
외조직역,1786,211
外祖名,1786,8754
외조명,1786,7975
外本,1786,341
외본,1786,302
備考,1786,252
전체순번,1789,54299
年度,1789,1
面名,1789,21
면명,1789,21
順番,1789,8906
里順,1789,15
里名,1789,170
리명,1789,170
統,1789,46
統首,1789,1830
통수,1789,1810
戶,1789,9
主戶,1789,8297
주호,1789,7970
新戶,1789,3
신호,1789,2
代戶,1789,745
대호,1789,744
戶內位相,1789,265
호내위상,1789,265
職役,1789,1489
직역,1789,1415
姓,1789,122
성,1789,95
名,1789,14079
명,1789,9965
改名,1789,822
개명,1789,782
年齡,1789,115
干支,1789,88
간지,1789,88
出入,1789,445
출입,1789,440
場所,1789,540
장소,1789,514
本,1789,4
본,1789,4
本貫,1789,368
본관,1789,315
主居,1789,16
주거,1789,16
主職役,1789,3
주직역,1789,3
主姓名,1789,131
주성명,1789,127
父職役,1789,349
부직역,1789,330
父名,1789,9631
부명,1789,6688
生父職役,1789,15
생부직역,1789,15
生父名,1789,111
생부명,1789,109
母職役,1789,31
모직역,1789,28
母名,1789,1156
모명,1789,1102
所生,1789,15
祖職役,1789,442
조직역,1789,408
祖名,1789,9051
조명,1789,6145
曾祖職役,1789,650
증조직역,1789,610
曾祖名,1789,8736
증조명,1789,5936
外祖職役,1789,292
외조직역,1789,281
外祖名,1789,13006
외조명,1789,11513
外本,1789,403
외본,1789,337
備考,1789,277
전체순번,1792,13811
年度,1792,1
面名,1792,7
면명,1792,7
順番,1792,3106
里順,1792,15
里名,1792,63
리명,1792,63
統,1792,46
統首,1792,466
통수,1792,464
戶,1792,9
主戶,1792,2234
주호,1792,2194
新戶,1792,2
신호,1792,2
代戶,1792,197
대호,1792,197
戶內位相,1792,141
호내위상,1792,144
職役,1792,477
직역,1792,447
姓,1792,91
성,1792,74
名,1792,5279
명,1792,4337
改名,1792,252
개명,1792,248
年齡,1792,107
干支,1792,83
간지,1792,84
出入,1792,186
출입,1792,194
場所,1792,146
장소,1792,141
本,1792,3
본,1792,3
本貫,1792,178
본관,1792,167
主居,1792,5
주거,1792,5
主職役,1792,2
주직역,1792,2
主姓名,1792,7
주성명,1792,7
父職役,1792,128
부직역,1792,125
父名,1792,3186
부명,1792,2662
生父職役,1792,8
생부직역,1792,8
生父名,1792,52
생부명,1792,52
母職役,1792,12
모직역,1792,12
母名,1792,374
모명,1792,380
所生,1792,12
祖職役,1792,157
조직역,1792,149
祖名,1792,3015
조명,1792,2485
曾祖職役,1792,216
증조직역,1792,208
曾祖名,1792,2954
증조명,1792,2429
外祖職役,1792,117
외조직역,1792,112
外祖名,1792,3695
외조명,1792,3464
外本,1792,206
외본,1792,192
備考,1792,62
전체순번,1795,59035
年度,1795,1
面名,1795,27
면명,1795,27
順番,1795,8624
里順,1795,17
里名,1795,194
리명,1795,192
統,1795,68
統首,1795,2116
통수,1795,2089
戶,1795,10
主戶,1795,9397
주호,1795,9000
新戶,1795,3
신호,1795,2
代戶,1795,1280
대호,1795,1278
戶內位相,1795,264
호내위상,1795,269
職役,1795,1454
직역,1795,1375
姓,1795,122
성,1795,93
名,1795,14624
명,1795,10331
改名,1795,791
개명,1795,747
年齡,1795,123
干支,1795,116
간지,1795,117
出入,1795,422
출입,1795,427
場所,1795,462
장소,1795,441
本,1795,5
본,1795,4
本貫,1795,388
본관,1795,334
主居,1795,11
주거,1795,11
主職役,1795,6
주직역,1795,6
主姓名,1795,46
주성명,1795,46
父職役,1795,360
부직역,1795,335
父名,1795,10583
부명,1795,7292
生父職役,1795,16
생부직역,1795,16
生父名,1795,123
생부명,1795,122
母職役,1795,21
모직역,1795,22
母名,1795,922
모명,1795,961
所生,1795,15
祖職役,1795,444
조직역,1795,412
祖名,1795,10060
조명,1795,6676
曾祖職役,1795,658
증조직역,1795,601
曾祖名,1795,9832
증조명,1795,6541
外祖職役,1795,291
외조직역,1795,278
外祖名,1795,14794
외조명,1795,13022
外本,1795,430
외본,1795,361
備考,1795,344
전체순번,1798,16936
年度,1798,1
面名,1798,11
면명,1798,11
順番,1798,3038
里順,1798,16
里名,1798,70
리명,1798,69
統,1798,66
統首,1798,670
통수,1798,667
戶,1798,9
主戶,1798,3097
주호,1798,3036
新戶,1798,2
신호,1798,2
代戶,1798,186
대호,1798,186
戶內位相,1798,131
호내위상,1798,130
職役,1798,448
직역,1798,432
姓,1798,106
성,1798,84
名,1798,5801
명,1798,4746
改名,1798,246
개명,1798,242
年齡,1798,112
干支,1798,81
간지,1798,81
出入,1798,190
출입,1798,198
場所,1798,121
장소,1798,118
本,1798,4
본,1798,4
本貫,1798,208
본관,1798,195
主居,1798,2
주거,1798,2
主職役,1798,2
주직역,1798,2
主姓名,1798,4
주성명,1798,4
父職役,1798,157
부직역,1798,151
父名,1798,4139
부명,1798,3238
生父職役,1798,9
생부직역,1798,9
生父名,1798,35
생부명,1798,35
母職役,1798,14
모직역,1798,15
母名,1798,295
모명,1798,347
所生,1798,9
祖職役,1798,206
조직역,1798,196
祖名,1798,4017
조명,1798,3127
曾祖職役,1798,232
증조직역,1798,223
曾祖名,1798,3948
증조명,1798,3049
外祖職役,1798,121
외조직역,1798,120
外祖名,1798,5078
외조명,1798,4686
外本,1798,239
외본,1798,212
備考,1798,111
전체순번,1801,55638
年度,1801,1
面名,1801,29
면명,1801,29
順番,1801,7591
里順,1801,16
里名,1801,213
리명,1801,210
統,1801,65
統首,1801,2021
통수,1801,1990
戶,1801,10
主戶,1801,9093
주호,1801,8703
新戶,1801,4
신호,1801,3
代戶,1801,491
대호,1801,491
戶內位相,1801,228
호내위상,1801,234
職役,1801,1288
직역,1801,1209
姓,1801,124
성,1801,93
名,1801,14523
명,1801,10211
改名,1801,724
개명,1801,680
年齡,1801,129
干支,1801,108
간지,1801,107
出入,1801,379
출입,1801,380
場所,1801,365
장소,1801,347
本,1801,4
본,1801,4
本貫,1801,378
본관,1801,324
主居,1801,5
주거,1801,5
主職役,1801,5
주직역,1801,5
主姓名,1801,31
주성명,1801,30
父職役,1801,323
부직역,1801,307
父名,1801,10568
부명,1801,7166
生父職役,1801,13
생부직역,1801,13
生父名,1801,137
생부명,1801,136
母職役,1801,28
모직역,1801,27
母名,1801,865
모명,1801,871
所生,1801,13
祖職役,1801,408
조직역,1801,380
祖名,1801,9928
조명,1801,6629
曾祖職役,1801,639
증조직역,1801,591
曾祖名,1801,9797
증조명,1801,6489
外祖職役,1801,289
외조직역,1801,280
外祖名,1801,14792
외조명,1801,13007
外本,1801,441
외본,1801,373
備考,1801,395
전체순번,1804,22642
年度,1804,1
面名,1804,11
면명,1804,11
順番,1804,2977
里順,1804,16
里名,1804,108
리명,1804,108
統,1804,48
統首,1804,698
통수,1804,694
戶,1804,10
主戶,1804,3969
주호,1804,3856
新戶,1804,3
신호,1804,3
代戶,1804,194
대호,1804,194
戶內位相,1804,137
호내위상,1804,139
職役,1804,565
직역,1804,538
姓,1804,106
성,1804,83
名,1804,7338
명,1804,5778
改名,1804,365
개명,1804,354
年齡,1804,111
干支,1804,80
간지,1804,80
出入,1804,180
출입,1804,191
場所,1804,123
장소,1804,119
本,1804,4
본,1804,4
本貫,1804,236
본관,1804,215
主居,1804,1
주거,1804,1
主職役,1804,1
주직역,1804,1
主姓名,1804,2
주성명,1804,2
父職役,1804,150
부직역,1804,146
父名,1804,5085
부명,1804,3922
生父職役,1804,10
생부직역,1804,10
生父名,1804,41
생부명,1804,41
母職役,1804,12
모직역,1804,12
母名,1804,299
모명,1804,318
所生,1804,12
祖職役,1804,194
조직역,1804,186
祖名,1804,4973
조명,1804,3810
曾祖職役,1804,291
증조직역,1804,282
曾祖名,1804,4904
증조명,1804,3759
外祖職役,1804,139
외조직역,1804,135
外祖名,1804,6462
외조명,1804,5978
外本,1804,268
외본,1804,243
備考,1804,133
전체순번,1807,7712
年度,1807,1
面名,1807,5
면명,1807,5
順番,1807,1879
里順,1807,10
里名,1807,35
리명,1807,35
統,1807,24
統首,1807,298
통수,1807,298
戶,1807,9
主戶,1807,1378
주호,1807,1363
新戶,1807,2
신호,1807,2
代戶,1807,80
대호,1807,80
戶內位相,1807,70
호내위상,1807,72
職役,1807,241
직역,1807,233
姓,1807,83
성,1807,70
名,1807,3386
명,1807,3061
改名,1807,130
개명,1807,124
年齡,1807,106
干支,1807,70
간지,1807,70
出入,1807,90
출입,1807,89
場所,1807,93
장소,1807,91
本,1807,4
본,1807,4
本貫,1807,159
본관,1807,149
主居,1807,2
주거,1807,2
主職役,1807,5
주직역,1807,5
主姓名,1807,9
주성명,1807,9
父職役,1807,70
부직역,1807,70
父名,1807,2119
부명,1807,1854
生父職役,1807,8
생부직역,1807,8
生父名,1807,34
생부명,1807,34
母職役,1807,8
모직역,1807,9
母名,1807,277
모명,1807,294
所生,1807,9
祖職役,1807,80
조직역,1807,80
祖名,1807,1987
조명,1807,1732
曾祖職役,1807,139
증조직역,1807,133
曾祖名,1807,1897
증조명,1807,1618
外祖職役,1807,82
외조직역,1807,82
外祖名,1807,2313
외조명,1807,2209
外本,1807,166
외본,1807,160
備考,1807,34
전체순번,1810,33754
年度,1810,1
面名,1810,17
면명,1810,17
順番,1810,7439
里順,1810,15
里名,1810,126
리명,1810,125
統,1810,61
統首,1810,1345
통수,1810,1334
戶,1810,10
主戶,1810,6227
주호,1810,6030
新戶,1810,2
신호,1810,2
代戶,1810,621
대호,1810,620
戶內位相,1810,172
호내위상,1810,171
職役,1810,807
직역,1810,763
姓,1810,118
성,1810,90
名,1810,10392
명,1810,7790
改名,1810,411
개명,1810,397
年齡,1810,102
干支,1810,81
간지,1810,80
出入,1810,220
출입,1810,216
場所,1810,175
장소,1810,174
本,1810,4
본,1810,4
本貫,1810,287
본관,1810,257
主居,1810,1
주거,1810,1
主職役,1810,1
주직역,1810,1
主姓名,1810,1
주성명,1810,1
父職役,1810,212
부직역,1810,201
父名,1810,7504
부명,1810,5489
生父職役,1810,9
생부직역,1810,9
生父名,1810,88
생부명,1810,88
母職役,1810,14
모직역,1810,14
母名,1810,391
모명,1810,402
所生,1810,11
祖職役,1810,265
조직역,1810,247
祖名,1810,7107
조명,1810,5153
曾祖職役,1810,356
증조직역,1810,334
曾祖名,1810,7019
증조명,1810,5036
外祖職役,1810,156
외조직역,1810,154
外祖名,1810,9812
외조명,1810,8917
外本,1810,325
외본,1810,289
備考,1810,143
전체순번,1813,19127
年度,1813,1
面名,1813,9
면명,1813,9
順番,1813,7450
里順,1813,12
里名,1813,59
리명,1813,59
統,1813,49
統首,1813,684
통수,1813,680
戶,1813,8
主戶,1813,3392
주호,1813,3308
新戶,1813,2
신호,1813,2
代戶,1813,215
대호,1813,215
戶內位相,1813,126
호내위상,1813,124
職役,1813,577
직역,1813,558
姓,1813,108
성,1813,87
名,1813,7082
명,1813,5684
改名,1813,200
개명,1813,196
年齡,1813,106
干支,1813,81
간지,1813,82
出入,1813,155
출입,1813,161
場所,1813,152
장소,1813,151
本,1813,3
본,1813,3
本貫,1813,245
본관,1813,228
主居,1813,2
주거,1813,2
主職役,1813,3
주직역,1813,3
主姓名,1813,7
주성명,1813,6
父職役,1813,140
부직역,1813,138
父名,1813,4633
부명,1813,3765
生父職役,1813,10
생부직역,1813,10
生父名,1813,61
생부명,1813,60
母職役,1813,12
모직역,1813,13
母名,1813,467
모명,1813,467
所生,1813,10
祖職役,1813,158
조직역,1813,152
祖名,1813,4216
조명,1813,3411
曾祖職役,1813,238
증조직역,1813,231
曾祖名,1813,4046
증조명,1813,3210
外祖職役,1813,122
외조직역,1813,121
外祖名,1813,5311
외조명,1813,4982
外本,1813,263
외본,1813,238
備考,1813,88
전체순번,1816,26031
年度,1816,1
面名,1816,14
면명,1816,14
順番,1816,7580
里順,1816,16
里名,1816,105
리명,1816,104
統,1816,45
統首,1816,1092
통수,1816,1087
戶,1816,9
主戶,1816,4755
주호,1816,4617
新戶,1816,2
신호,1816,2
代戶,1816,730
대호,1816,727
戶內位相,1816,143
호내위상,1816,149
職役,1816,697
직역,1816,675
姓,1816,112
성,1816,87
名,1816,8242
명,1816,6459
改名,1816,247
개명,1816,245
年齡,1816,107
干支,1816,80
간지,1816,80
出入,1816,138
출입,1816,145
場所,1816,107
장소,1816,104
本,1816,4
본,1816,5
本貫,1816,281
본관,1816,254
主居,1816,1
주거,1816,1
主職役,1816,2
주직역,1816,2
主姓名,1816,2
주성명,1816,2
父職役,1816,165
부직역,1816,161
父名,1816,6012
부명,1816,4623
生父職役,1816,10
생부직역,1816,10
生父名,1816,56
생부명,1816,55
母職役,1816,8
모직역,1816,10
母名,1816,246
모명,1816,320
所生,1816,10
祖職役,1816,184
조직역,1816,178
祖名,1816,5816
조명,1816,4407
曾祖職役,1816,241
증조직역,1816,231
曾祖名,1816,5697
증조명,1816,4286
外祖職役,1816,144
외조직역,1816,140
外祖名,1816,7630
외조명,1816,7030
外本,1816,300
외본,1816,269
備考,1816,68
전체순번,1819,6171
年度,1819,1
面名,1819,6
면명,1819,6
順番,1819,2296
里順,1819,6
里名,1819,21
리명,1819,21
統,1819,55
統首,1819,274
통수,1819,274
戶,1819,9
主戶,1819,1298
주호,1819,1282
新戶,1819,2
신호,1819,2
代戶,1819,80
대호,1819,80
戶內位相,1819,62
호내위상,1819,65
職役,1819,234
직역,1819,231
姓,1819,79
